"Title","District-wise Wholesale Prices Monthly Analysis for Onion in Karnataka - January, 2024",,
District,"Prices January, 2024 (Rs./Quintal)","Prices December, 2023 (Rs./Quintal)","Prices January, 2023 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Belagavi,1946.42,3365.21,1692.55,-42.2%,15.0%
Bengaluru,1503.24,2672.96,1331.86,-43.8%,12.9%
Bengaluru Rural,2457.14,2600.0,2000.0,-5.5%,22.9%
Bengaluru South,2751.72,4357.14,-,-36.9%,-
Chikkaballapur,2177.62,3392.97,2233.28,-35.8%,-2.5%
Chikkamagaluru,2327.5,3094.55,1848.29,-24.8%,25.9%
Dakshina Kannada,1944.64,2938.24,2053.21,-33.8%,-5.3%
Davangere,2194.99,2788.37,1175.32,-21.3%,86.8%
Dharwad,1131.49,1744.65,951.65,-35.1%,18.9%
Gadag,-,2100.31,-,-,-
Hassan,1509.32,2834.98,1561.67,-46.8%,-3.4%
Haveri,-,-,1807.49,-,-
Kalaburagi,946.34,1398.55,1099.13,-32.3%,-13.9%
Kolar,1546.37,3579.86,1793.71,-56.8%,-13.8%
Koppal,2493.33,-,-,-,-
Mandya,2875.0,4166.67,1800.0,-31.0%,59.7%
Mysuru,1792.24,2555.41,1652.84,-29.9%,8.4%
Raichur,1371.85,2041.48,1257.48,-32.8%,9.1%
Shivamogga,2390.95,3735.56,2000.75,-36.0%,19.5%
Tumakuru,2210.91,4083.33,2229.09,-45.9%,-0.8%
Udupi,2534.62,3673.47,2179.41,-31.0%,16.3%
Vijayanagara,1736.59,-,-,-,-
Vijayapura,1331.22,1834.41,1376.19,-27.4%,-3.3%
Average,1960.64,2947.91,1686.52,-,-

"Title","District-wise Wholesale Prices Monthly Analysis for Onion in Karnataka - February, 2024",,
District,"Prices February, 2024 (Rs./Quintal)","Prices January, 2024 (Rs./Quintal)","Prices February, 2023 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Bagalkot,800.0,-,-,-,-
Belagavi,1866.65,1946.42,1182.1,-4.1%,57.9%
Bengaluru,1622.38,1503.24,975.22,7.9%,66.4%
Bengaluru Rural,1583.33,2457.14,1587.5,-35.6%,-0.3%
Bengaluru South,1980.77,2751.72,-,-28.0%,-
Bidar,1200.0,-,-,-,-
Chamarajanagar,1450.0,-,-,-,-
Chikkaballapur,1894.42,2177.62,1783.28,-13.0%,6.2%
Chikkamagaluru,1833.29,2327.5,1855.15,-21.2%,-1.2%
Dakshina Kannada,2263.64,1944.64,1497.71,16.4%,51.1%
Davangere,1969.35,2194.99,1212.37,-10.3%,62.4%
Dharwad,862.15,1131.49,745.81,-23.8%,15.6%
Hassan,1266.83,1509.32,1248.72,-16.1%,1.4%
Haveri,-,-,1469.42,-,-
Kalaburagi,892.31,946.34,783.64,-5.7%,13.9%
Kolar,2363.83,1546.37,2329.33,52.9%,1.5%
Koppal,-,2493.33,-,-,-
Mandya,1575.0,2875.0,1700.0,-45.2%,-7.3%
Mysuru,1542.01,1792.24,1402.35,-14.0%,10.0%
Raichur,1145.92,1371.85,778.01,-16.5%,47.3%
Shivamogga,1987.69,2390.95,1863.24,-16.9%,6.7%
Tumakuru,2021.58,2210.91,2150.0,-8.6%,-6.0%
Udupi,1951.55,2534.62,1724.04,-23.0%,13.2%
Vijayanagara,-,1736.59,-,-,-
Vijayapura,981.74,1331.22,759.12,-26.2%,29.3%
Average,1593.38,1960.64,1423.53,-,-

"Title","District-wise Wholesale Prices Monthly Analysis for Onion in Karnataka - March, 2024",,
District,"Prices March, 2024 (Rs./Quintal)","Prices February, 2024 (Rs./Quintal)","Prices March, 2023 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Bagalkot,-,800.0,-,-,-
Belagavi,1701.33,1866.65,1020.21,-8.9%,66.8%
Bengaluru,1371.62,1622.38,1041.34,-15.5%,31.7%
Bengaluru Rural,1809.09,1583.33,1373.91,14.3%,31.7%
Bengaluru South,2500.0,1980.77,-,26.2%,-
Bidar,-,1200.0,-,-,-
Chamarajanagar,2000.0,1450.0,4040.73,37.9%,-50.5%
Chikkaballapur,2110.71,1894.42,1556.3,11.4%,35.6%
Chikkamagaluru,1917.78,1833.29,1430.43,4.6%,34.1%
Dakshina Kannada,1855.56,2263.64,1458.51,-18.0%,27.2%
Davangere,1478.88,1969.35,1124.18,-24.9%,31.6%
Dharwad,863.96,862.15,652.1,0.2%,32.5%
Hassan,906.17,1266.83,917.4,-28.5%,-1.2%
Haveri,-,-,978.88,-,-
Kalaburagi,1013.73,892.31,1254.34,13.6%,-19.2%
Kolar,2111.01,2363.83,1486.81,-10.7%,42.0%
Mandya,1000.0,1575.0,1811.11,-36.5%,-44.8%
Mysuru,1732.49,1542.01,1288.02,12.3%,34.5%
Raichur,1120.79,1145.92,500.0,-2.2%,124.2%
Shivamogga,1667.86,1987.69,1325.25,-16.1%,25.9%
Tumakuru,2004.84,2021.58,1998.67,-0.8%,0.3%
Udupi,2309.42,1951.55,1431.75,18.3%,61.3%
Vijayapura,1255.37,981.74,734.06,27.9%,71.0%
Average,1636.53,1593.38,1371.2,-,-

"Title","District-wise Wholesale Prices Monthly Analysis for Onion in Karnataka - April, 2024",,
District,"Prices April, 2024 (Rs./Quintal)","Prices March, 2024 (Rs./Quintal)","Prices April, 2023 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Bagalkot,1060.0,-,1000.0,-,6.0%
Belagavi,1672.07,1701.33,964.81,-1.7%,73.3%
Bengaluru,1397.56,1371.62,933.72,1.9%,49.7%
Bengaluru Rural,1885.71,1809.09,1286.84,4.2%,46.5%
Bengaluru South,2287.5,2500.0,-,-8.5%,-
Chamarajanagar,2550.0,2000.0,3878.14,27.5%,-34.2%
Chikkaballapur,1913.11,2110.71,1345.66,-9.4%,42.2%
Chikkamagaluru,1909.55,1917.78,1766.56,-0.4%,8.1%
Dakshina Kannada,-,1855.56,1487.14,-,-
Davangere,1212.22,1478.88,868.89,-18.0%,39.5%
Dharwad,818.64,863.96,572.39,-5.2%,43.0%
Hassan,1390.28,906.17,955.36,53.4%,45.5%
Haveri,-,-,998.68,-,-
Kalaburagi,950.0,1013.73,864.14,-6.3%,9.9%
Kolar,1831.05,2111.01,-,-13.3%,-
Mandya,1500.0,1000.0,1777.78,50.0%,-15.6%
Mysuru,1459.13,1732.49,1007.79,-15.8%,44.8%
Raichur,1054.33,1120.79,-,-5.9%,-
Shivamogga,1182.03,1667.86,1237.62,-29.1%,-4.5%
Tumakuru,-,2004.84,1576.25,-,-
Udupi,2202.44,2309.42,1326.87,-4.6%,66.0%
Vijayanagara,-,-,1130.56,-,-
Vijayapura,1139.37,1255.37,521.75,-9.2%,118.4%
Average,1548.16,1636.53,1275.05,-,-

"Title","District-wise Wholesale Prices Monthly Analysis for Onion in Karnataka - May, 2024",,
District,"Prices May, 2024 (Rs./Quintal)","Prices April, 2024 (Rs./Quintal)","Prices May, 2023 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Bagalkot,1593.04,1060.0,562.99,50.3%,183.0%
Belagavi,2093.9,1672.07,1027.22,25.2%,103.8%
Bengaluru,1596.76,1397.56,823.59,14.2%,93.9%
Bengaluru Rural,1969.23,1885.71,1234.09,4.4%,59.6%
Bengaluru South,2133.33,2287.5,1200.0,-6.7%,77.8%
Chamarajanagar,-,2550.0,3599.81,-,-
Chikkaballapur,2225.13,1913.11,1418.48,16.3%,56.9%
Chikkamagaluru,1950.42,1909.55,1213.82,2.1%,60.7%
Dakshina Kannada,-,-,1397.14,-,-
Davangere,1374.57,1212.22,788.4,13.4%,74.3%
Dharwad,1015.97,818.64,635.68,24.1%,59.8%
Hassan,1313.48,1390.28,932.11,-5.5%,40.9%
Haveri,-,-,1041.89,-,-
Kalaburagi,1037.5,950.0,1035.06,9.2%,0.2%
Kolar,2315.38,1831.05,1190.29,26.4%,94.5%
Mandya,1200.0,1500.0,1854.55,-20.0%,-35.3%
Mysuru,1689.38,1459.13,939.39,15.8%,79.8%
Raichur,1152.21,1054.33,-,9.3%,-
Shivamogga,2147.93,1182.03,1458.96,81.7%,47.2%
Tumakuru,11250.0,-,985.0,-,-
Udupi,2524.0,2202.44,1374.32,14.6%,83.7%
Vijayanagara,-,-,1005.12,-,-
Vijayapura,1115.35,1139.37,524.45,-2.1%,112.7%
Average,2194.61,1548.16,1192.83,-,-
