"Title","District-wise Wholesale Prices Monthly Analysis for Onion in Karnataka - June, 2024",,
District,"Prices June, 2024 (Rs./Quintal)","Prices May, 2024 (Rs./Quintal)","Prices June, 2023 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Bagalkot,2536.46,1593.04,850.07,59.2%,198.4%
Belagavi,2939.33,2093.9,1298.37,40.4%,126.4%
Bengaluru,2298.05,1596.76,1127.87,43.9%,103.8%
Bengaluru Rural,2557.89,1969.23,1731.48,29.9%,47.7%
Bengaluru South,3357.14,2133.33,1200.0,57.4%,179.8%
Chamarajanagar,3340.0,-,4362.33,-,-23.4%
Chikkaballapur,3143.02,2225.13,1513.71,41.2%,107.6%
Chikkamagaluru,2652.17,1950.42,1458.49,36.0%,81.8%
Dakshina Kannada,-,-,1645.37,-,-
Davangere,1812.8,1374.57,823.4,31.9%,120.2%
Dharwad,1452.51,1015.97,757.48,43.0%,91.8%
Hassan,1638.74,1313.48,1094.41,24.8%,49.7%
Haveri,-,-,1065.27,-,-
Kalaburagi,1615.39,1037.5,969.05,55.7%,66.7%
Kolar,2971.48,2315.38,1583.33,28.3%,87.7%
Mandya,900.0,1200.0,1900.0,-25.0%,-52.6%
Mysuru,2737.85,1689.38,1342.57,62.1%,103.9%
Raichur,2149.88,1152.21,-,86.6%,-
Shivamogga,3115.73,2147.93,1564.67,45.1%,99.1%
Tumakuru,3012.5,11250.0,1011.67,-73.2%,197.8%
Udupi,3241.12,2524.0,1653.85,28.4%,96.0%
Vijayanagara,-,-,1025.19,-,-
Vijayapura,1912.86,1115.35,706.9,71.5%,170.6%
Average,2469.25,2194.61,1394.79,-,-

"Title","District-wise Wholesale Prices Monthly Analysis for Onion in Karnataka - July, 2024",,
District,"Prices July, 2024 (Rs./Quintal)","Prices June, 2024 (Rs./Quintal)","Prices July, 2023 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Bagalkot,2191.64,2536.46,1364.96,-13.6%,60.6%
Belagavi,3058.23,2939.33,1575.88,4.0%,94.1%
Bengaluru,2692.1,2298.05,1363.83,17.1%,97.4%
Bengaluru Rural,2510.0,2557.89,1995.24,-1.9%,25.8%
Bengaluru South,3709.09,3357.14,-,10.5%,-
Chamarajanagar,1963.37,3340.0,-,-41.2%,-
Chikkaballapur,3900.0,3143.02,1859.08,24.1%,109.8%
Chikkamagaluru,3122.27,2652.17,1485.83,17.7%,110.1%
Dakshina Kannada,-,-,1703.95,-,-
Davangere,2147.39,1812.8,1166.1,18.5%,84.2%
Dharwad,1618.98,1452.51,949.05,11.5%,70.6%
Gadag,-,-,1366.67,-,-
Hassan,1943.69,1638.74,1371.52,18.6%,41.7%
Haveri,-,-,1540.08,-,-
Kalaburagi,2022.12,1615.39,1214.92,25.2%,66.4%
Kolar,3204.72,2971.48,1138.56,7.8%,181.5%
Koppal,-,-,1800.0,-,-
Mandya,2500.0,900.0,1852.63,177.8%,34.9%
Mysuru,2812.25,2737.85,1540.93,2.7%,82.5%
Raichur,2561.27,2149.88,-,19.1%,-
Shivamogga,3477.84,3115.73,1792.48,11.6%,94.0%
Tumakuru,3250.0,3012.5,1807.86,7.9%,79.8%
Udupi,3594.59,3241.12,1979.21,10.9%,81.6%
Vijayanagara,-,-,1190.0,-,-
Vijayapura,1946.17,1912.86,1335.55,1.7%,45.7%
Average,2711.29,2469.25,1517.92,-,-

"Title","District-wise Wholesale Prices Monthly Analysis for Onion in Karnataka - August, 2024",,
District,"Prices August, 2024 (Rs./Quintal)","Prices July, 2024 (Rs./Quintal)","Prices August, 2023 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Bagalkot,3097.98,2191.64,-,41.4%,-
Belagavi,3506.79,3058.23,2192.59,14.7%,59.9%
Bengaluru,3034.95,2692.1,1791.37,12.7%,69.4%
Bengaluru Rural,2533.33,2510.0,2000.0,0.9%,26.7%
Bengaluru South,4237.84,3709.09,-,14.3%,-
Chamarajanagar,1725.64,1963.37,-,-12.1%,-
Chikkaballapur,3716.67,3900.0,2342.15,-4.7%,58.7%
Chikkamagaluru,3326.69,3122.27,1768.42,6.5%,88.1%
Dakshina Kannada,-,-,2681.0,-,-
Davangere,2264.55,2147.39,1309.28,5.5%,73.0%
Dharwad,2140.06,1618.98,1161.56,32.2%,84.2%
Hassan,1892.27,1943.69,1602.9,-2.6%,18.1%
Haveri,-,-,1563.83,-,-
Kalaburagi,2259.24,2022.12,2154.75,11.7%,4.8%
Kolar,3571.04,3204.72,1679.31,11.4%,112.7%
Koppal,-,-,2115.77,-,-
Mandya,-,2500.0,2300.0,-,-
Mysuru,3219.77,2812.25,1836.19,14.5%,75.3%
Raichur,2814.97,2561.27,-,9.9%,-
Shivamogga,4006.21,3477.84,2426.06,15.2%,65.1%
Tumakuru,-,3250.0,1550.0,-,-
Udupi,4578.68,3594.59,2434.48,27.4%,88.1%
Vijayanagara,-,-,1355.17,-,-
Vijayapura,2020.82,1946.17,1443.96,3.8%,40.0%
Average,2997.08,2711.29,1885.44,-,-

"Title","District-wise Wholesale Prices Monthly Analysis for Onion in Karnataka - December, 2024",,
District,"Prices December, 2024 (Rs./Quintal)","Prices November, 2024 (Rs./Quintal)","Prices December, 2023 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Bagalkot,2831.88,3236.21,-,-12.5%,-
Belagavi,3512.91,2974.93,3365.21,18.1%,4.4%
Bengaluru,3226.69,4033.59,2672.96,-20.0%,20.7%
Bengaluru Rural,4590.91,4000.0,2600.0,14.8%,76.6%
Bengaluru South,5221.74,5197.37,4357.14,0.5%,19.8%
Chikkaballapur,3693.61,4218.98,3392.97,-12.4%,8.9%
Chikkamagaluru,4160.0,3772.98,3094.55,10.3%,34.4%
Dakshina Kannada,-,-,2938.24,-,-
Davangere,3462.86,3411.97,2788.37,1.5%,24.2%
Dharwad,1898.09,2426.03,1744.65,-21.8%,8.8%
Gadag,3037.91,2586.38,2100.31,17.5%,44.6%
Hassan,2397.62,2436.43,2834.98,-1.6%,-15.4%
Kalaburagi,2327.97,2121.94,1398.55,9.7%,66.5%
Kolar,4975.77,3673.33,3579.86,35.5%,39.0%
Mandya,3000.0,2916.67,4166.67,2.9%,-28.0%
Mysuru,4385.32,4691.22,2555.41,-6.5%,71.6%
Raichur,-,-,2041.48,-,-
Shivamogga,4485.88,4662.25,3735.56,-3.8%,20.1%
Tumakuru,-,3100.0,4083.33,-,-
Udupi,4277.66,5326.04,3673.47,-19.7%,16.4%
Vijayapura,3192.71,2828.87,1834.41,12.9%,74.0%
Average,3593.31,3558.69,2947.91,-,-
